Ellingham Bob Doubles|3.1.5.123.345,125
Itchingfield Slow Course Doubles|3.1.5.3.125,125
Yeoveney Slow Course Doubles|3.1.5.3.145,123
Robert Beavis and the Beggar Bob Doubles|3.1.5.3.145,145
Forncett Bob Doubles|3.1.5.3.345,125
Hambledon Bob Doubles|3.145.125.1.345,123
Bilborough Slow Course Doubles|3.145.125.123.125,125
Strelley Place Doubles|3.145.125.123.345,125
Ockham Slow Course Doubles|3.145.125.3.125,125
Woughton-on-the-Green Bob Doubles|3.145.125.3.145,123
Intwood Bob Doubles|3.145.125.3.345,125
Bristol Bob Doubles|3.145.5.1.125,123
Tandridge Place Doubles|3.145.5.1.125,125
Claypole Bob Doubles|3.145.5.1.145,123
St Aidan Bob Doubles|3.145.5.1.145,145
Colne Slow Course Doubles|3.145.5.1.345,123
Colnbrook Slow Course Doubles|3.145.5.1.345,125
Broughton Slow Course Doubles|3.145.5.123.125,125
Bracebridge Heath Bob Doubles|3.145.5.123.145,123
Lyng Place Doubles|3.145.5.123.345,125
Chesham Slow Course Doubles|3.145.5.3.125,125
Crane Slow Course Doubles|3.145.5.3.145,123
Cranford Slow Course Doubles|3.145.5.3.145,125
Knapton Bob Doubles|3.145.5.3.345,125
Biddesden Place Doubles|345.1.125.1.345,123
Norwell Slow Course Doubles|345.1.125.123.125,125
Ossington Place Doubles|345.1.125.123.345,125
Hascombe Slow Course Doubles|345.1.125.3.125,125
Wisborough Green Place Doubles|345.1.125.3.145,123
Harpley Bob Doubles|345.1.125.3.345,125
Berkshire Place Doubles|345.1.5.1.125,123
Dorton Place Doubles|345.1.5.1.125,125
Norfolk Place Doubles|345.1.5.1.125,145
Great Dalby Bob Doubles|345.1.5.1.145,123
Runemede Slow Course Doubles|345.1.5.1.345,123
Raveningham Slow Course Doubles|345.1.5.1.345,125
Thornborough Slow Course Doubles|345.1.5.123.125,125
Long Clawson Place Doubles|345.1.5.123.145,123
Haddiscoe Place Doubles|345.1.5.123.345,125
Longford Slow Course Doubles|345.1.5.3.125,125
Harmondsworth Slow Course Doubles|345.1.5.3.145,123
Heathrow Slow Course Doubles|345.1.5.3.145,125
Fundenhall Bob Doubles|345.1.5.3.345,125
Broadhalfpenny Place Doubles|345.145.125.1.345,123
Yorkshire Slow Course Doubles|345.145.125.123.125,125
Monmouthshire Place Doubles|345.145.125.123.345,125
Westmorland Slow Course Doubles|345.145.125.3.125,125
Weston-on-the-Green Place Doubles|345.145.125.3.145,123
Wiltshire Bob Doubles|345.145.125.3.345,125
Buckinghamshire Place Doubles|345.145.5.1.125,123
Gloucestershire Place Doubles|345.145.5.1.125,145
Frithville Bob Doubles|345.145.5.1.145,123
Cambridgeshire Slow Course Doubles|345.145.5.1.345,123
Hampshire Place Doubles|345.145.5.1.345,145
Surrey Slow Course Doubles|345.145.5.123.125,125
Yaddlethorpe Place Doubles|345.145.5.123.145,123
Sussex Place Doubles|345.145.5.123.345,125
Somerset Slow Course Doubles|345.145.5.3.125,125
Scarletts Slow Course Doubles|345.145.5.3.145,123
Staffordshire Bob Doubles|345.145.5.3.345,125
Cowthorpe Place Doubles|5.1.125.1.345,123
Brecon Slow Course Doubles|5.1.125.123.125,123
Caunton Slow Course Doubles|5.1.125.123.125,125
North Cerney Place Doubles|5.1.125.123.125,145
Nunthorpe Place Doubles|5.1.125.123.345,123
Sutton-upon-Trent Bob Doubles|5.1.125.123.345,125
Southwick Place Doubles|5.1.125.123.345,145
